File Name,Country,Topic,Learners' Prof.,Editor,Tokens,A (Added),D (Deleted),A+D,Tokens,Content (/12),Organization (/12),Vocabulary (/12),Language Use (/12),Mechanics (/12),Total 1 (%),Total 2 (Weighted %),Code,Sex,Age,Grade/Degree,Yrs of Stay (< Yrs),Major,Acad. Genre,Prof. Test,Score,Vocab Size Test,CEFR,INTM,INSM,INTM+INSM,INTM-INSM,Primary,Secondary,College,Inschool,Outschool,Listening,Reading,Speaking,Writing,NS,Pronunciation,Presentation,EssayW,,Content,,,,,,,,,,,,,,
W_CHN_PTJ0_001_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,275,34,29,63,271,10,9,8,7,8,70,68.3,W_CHN_001,F,20,2,N/A,Law,Social Sciences,CEE,72,30,B1_1,0,0,0,0,2,3.63,4.25,3.89,3.56,4,4.5,3.5,3.75,4,5,5,4,,"""10-12",EXCELLENT TO VERY GOOD: knowledgeable • substantive • thorough development of thesis • relevant to assigned topic,,,,,,,,,,,,,
W_CHN_PTJ0_002_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,210,18,13,31,203,8,7,9,7,9,66.7,62.1,W_CHN_002,F,21,3,N/A,Law,Social Sciences,CEE,77,27,B1_1,4.17,4.33,8.5,-0.16,2.5,4,1.86,3,2.88,3,3,2.75,3.33,3,3,3,3,,"""7-9","GOOD TO AVERAGE: some knowledge of the subject • adequate range • limited development of thesis • mostly relevant to topic, but lacks detail",,,,,,,,,,,,,
W_CHN_PTJ0_003_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,255,29,17,46,238,10,10,8,9,9,76.7,73.8,W_CHN_003,F,20,3,N/A,Law,Social Sciences,CEE,79,32,B1_1,5.17,5.17,10.34,0,3.5,4.25,4.25,4.22,4.11,5,4,3.75,4.25,4,5,5,5,,"""4-6",FAIR TO POOR: limited knowledge of the subject • little substance • inadequate development of topic,,,,,,,,,,,,,
W_CHN_PTJ0_004_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,267,27,25,52,269,8,9,6,8,9,66.7,62.1,W_CHN_004,F,20,2,N/A,Chemistry,Sciences & Technology,CEE,87,37,B1_2,4.67,5.17,9.84,-0.5,1,2.75,4.25,3.44,3,3.75,3.75,3.25,3.25,3,5,5,5,,"""1-3",VERY POOR: does not show knowledge of the subject • non-substantive • not pertinent • OR not enough to evaluate,,,,,,,,,,,,,
W_CHN_PTJ0_005_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,228,27,26,53,225,9,8,9,10,8,73.3,70.8,W_CHN_005,M,20,2,N/A,Chemistry,Sciences & Technology,CEE,84,44,B1_2,5.17,5.33,10.5,-0.16,2,3.63,4.88,4.33,3.67,5,5,3.25,3.75,3,5,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_006_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,219,16,17,33,215,8,7,8,8,9,66.7,62.1,W_CHN_006,F,20,2,N/A,Chemistry,Sciences & Technology,CEE,81,42,B1_2,4.67,4.83,9.5,-0.16,1,3.25,4.5,3.67,3.44,4.5,4.5,3.25,3.25,4,5,5,4,,Organization,,,,,,,,,,,,,,
W_CHN_PTJ0_007_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,221,28,25,53,218,11,10,8,8,9,76.7,74.6,W_CHN_007,M,19,1,N/A,Telecommunication,Sciences & Technology,CEE,89,34,B1_1,4.67,5.5,10.17,-0.83,1,2.75,5,4.11,3,4,4.25,3.5,3.75,1,4,5,5,,"""10-12",EXCELLENT TO VERY GOOD: fluent expression • ideas clearly stated/supported • succinct • well-organized • logical sequencing • cohesive,,,,,,,,,,,,,
W_CHN_PTJ0_008_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,247,26,28,54,240,8,6,9,6,6,58.3,57.5,W_CHN_008,F,19,1,N/A,Telecommunication,Sciences & Technology,CEE,95,39,B1_2,5,5.67,10.67,-0.67,3,4,5,4.56,4.11,4.5,5,4.25,4.25,5,5,5,5,,"""7-9","GOOD TO AVERAGE: somewhat choppy • loosely organized, but main ideas stand out • limited support • logical, but incomplete sequencing",,,,,,,,,,,,,
W_CHN_PTJ0_009_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,232,21,15,36,230,11,10,9,10,10,83.3,80,W_CHN_009,F,20,1,N/A,Telecommunication,Sciences & Technology,CEE,97,40,B1_2,5.5,5.83,11.33,-0.33,2,4.63,5,4.89,4.11,4.75,5.5,4.5,4.5,4,6,5,6,,"""4-6",FAIR TO POOR: non-fluent • ideas confused or disconnected • lacks logical sequencing and developing,,,,,,,,,,,,,
W_CHN_PTJ0_010_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,207,13,14,27,205,10,10,9,10,9,80,77.1,W_CHN_010,F,18,1,N/A,Telecommunication,Sciences & Technology,CEE,90,33,B1_1,4.33,4.83,9.16,-0.5,1,4.5,4.63,4.33,4,4.75,5,4,4.5,3,5,4,6,,"""1-3",VERY POOR: does not communicate • no organization • OR not enough to evaluate,,,,,,,,,,,,,
